date,country,send_interval,is_verified,is_unsubscribed,account_cnt,sent_msg,open_msg,visit_msg,total_country_account_cnt,total_country_sent_cnt,rank_total_country_account_cnt,rank_total_country_sent_cnt
2020-12-09,France,1,1,1,2,0,0,0,553,9520,5,6
2020-12-09,France,1,1,0,0,85,23,0,553,9520,5,6
2020-12-09,France,1,1,1,0,17,2,1,553,9520,5,6
2020-12-09,France,1,0,0,0,1,0,0,553,9520,5,6
2020-12-10,France,1,0,0,1,0,0,0,553,9520,5,6
2020-12-10,France,1,1,0,4,0,0,0,553,9520,5,6
2020-12-10,France,1,1,1,1,0,0,0,553,9520,5,6
2020-12-10,France,1,1,0,0,84,17,0,553,9520,5,6
2020-12-10,France,1,1,1,0,17,3,0,553,9520,5,6
2020-12-11,France,1,0,0,1,0,0,0,553,9520,5,6
2020-12-11,France,1,1,0,6,0,0,0,553,9520,5,6
2020-12-11,France,1,1,0,0,79,16,1,553,9520,5,6
2020-12-11,France,1,1,1,0,12,1,0,553,9520,5,6
2020-12-11,France,1,0,0,0,1,0,0,553,9520,5,6
2020-12-12,France,1,0,0,3,0,0,0,553,9520,5,6
2020-12-12,France,1,1,0,4,0,0,0,553,9520,5,6
2020-12-12,France,1,1,1,1,0,0,0,553,9520,5,6
2020-12-12,France,1,1,0,0,82,15,4,553,9520,5,6
2020-12-12,France,1,1,1,0,10,0,0,553,9520,5,6
2020-12-12,France,1,0,1,0,3,3,2,553,9520,5,6
2020-12-12,France,1,0,0,0,1,1,0,553,9520,5,6
2020-12-13,France,1,0,0,3,0,0,0,553,9520,5,6
2020-12-13,France,1,1,0,4,0,0,0,553,9520,5,6
2020-12-13,France,1,1,1,1,0,0,0,553,9520,5,6
2020-12-13,France,1,1,0,0,82,15,0,553,9520,5,6
2020-12-13,France,1,0,1,0,3,3,0,553,9520,5,6
2020-12-13,France,1,1,1,0,10,5,0,553,9520,5,6
2020-12-13,France,1,0,0,0,7,0,0,553,9520,5,6
2020-12-14,France,1,0,0,1,0,0,0,553,9520,5,6
2020-12-14,France,1,1,0,5,0,0,0,553,9520,5,6
2020-12-14,France,1,1,1,4,0,0,0,553,9520,5,6
2020-12-14,France,1,1,0,0,90,21,6,553,9520,5,6
2020-12-14,France,1,0,1,0,3,3,0,553,9520,5,6
2020-12-14,France,1,1,1,0,10,3,0,553,9520,5,6
2020-12-15,France,1,0,0,4,0,0,0,553,9520,5,6
2020-12-15,France,1,1,0,3,0,0,0,553,9520,5,6
2020-12-15,France,1,0,1,1,0,0,0,553,9520,5,6
2020-12-15,France,1,1,1,3,0,0,0,553,9520,5,6
2020-12-15,France,1,1,0,0,88,26,1,553,9520,5,6
2020-12-15,France,1,0,1,0,5,2,0,553,9520,5,6
2020-12-15,France,1,1,1,0,5,0,0,553,9520,5,6
2020-12-16,France,1,0,0,4,0,0,0,553,9520,5,6
2020-12-16,France,1,1,0,6,0,0,0,553,9520,5,6
2020-12-16,France,1,1,1,3,0,0,0,553,9520,5,6
2020-12-16,France,1,1,0,0,81,25,4,553,9520,5,6
2020-12-16,France,1,0,1,0,1,0,0,553,9520,5,6
2020-12-16,France,1,1,1,0,6,4,0,553,9520,5,6
2020-12-16,France,1,0,0,0,2,0,0,553,9520,5,6
2020-12-17,France,1,0,0,6,0,0,0,553,9520,5,6
2020-12-17,France,1,1,0,10,0,0,0,553,9520,5,6
2020-12-17,France,1,1,1,2,0,0,0,553,9520,5,6
2020-12-17,France,1,1,0,0,97,27,3,553,9520,5,6
2020-12-17,France,1,1,1,0,9,4,0,553,9520,5,6
2020-12-17,France,1,0,0,0,2,0,0,553,9520,5,6
2020-12-18,France,1,0,0,4,0,0,0,553,9520,5,6
2020-12-18,France,1,1,0,4,0,0,0,553,9520,5,6
2020-12-18,France,3,1,0,1,0,0,0,553,9520,5,6
2020-12-18,France,1,1,0,0,106,30,4,553,9520,5,6
2020-12-18,France,1,1,1,0,16,4,0,553,9520,5,6
2020-12-18,France,1,0,0,0,2,1,0,553,9520,5,6
2020-12-19,France,1,1,0,6,0,0,0,553,9520,5,6
2020-12-19,France,1,1,0,0,89,30,7,553,9520,5,6
2020-12-19,France,1,1,1,0,14,4,0,553,9520,5,6
2020-12-19,France,1,0,1,0,1,0,0,553,9520,5,6
2020-12-20,France,1,0,0,3,0,0,0,553,9520,5,6
2020-12-20,France,1,1,0,5,0,0,0,553,9520,5,6
2020-12-20,France,7,1,1,1,0,0,0,553,9520,5,6
2020-12-20,France,1,1,0,0,93,33,5,553,9520,5,6
2020-12-20,France,1,1,1,0,11,4,0,553,9520,5,6
2020-12-20,France,1,0,0,0,3,0,0,553,9520,5,6
2020-12-20,France,7,1,1,0,1,0,0,553,9520,5,6
2020-12-21,France,1,0,0,3,0,0,0,553,9520,5,6
2020-12-21,France,1,1,0,3,0,0,0,553,9520,5,6
2020-12-21,France,1,1,1,1,0,0,0,553,9520,5,6
2020-12-21,France,7,1,1,0,7,1,1,553,9520,5,6
2020-12-21,France,1,1,0,0,91,48,4,553,9520,5,6
2020-12-21,France,1,1,1,0,11,4,0,553,9520,5,6
2020-12-21,France,1,0,0,0,5,2,0,553,9520,5,6
2020-12-22,France,1,0,0,1,0,0,0,553,9520,5,6
2020-12-22,France,1,1,0,2,0,0,0,553,9520,5,6
2020-12-22,France,1,1,1,1,0,0,0,553,9520,5,6
2020-12-22,France,7,1,1,0,7,0,0,553,9520,5,6
2020-12-22,France,1,1,0,0,92,46,4,553,9520,5,6
